ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace
Create: depth = 10

2026-01-02T09:48:52+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Box::FrustumCulling<1>/1000                                1.66 us         1.65 us       407273
Benchmarks::Box::FrustumCulling<1>/10000                               11.1 us         11.0 us        64000
Benchmarks::Box::CollisionDetection<0, false>/100                      2.06 us         2.09 us       344615
Benchmarks::Box::CollisionDetection<0, false>/1000                     67.3 us         67.0 us        11200
Benchmarks::Box::CollisionDetection<0, false>/10000                    5025 us         5000 us          100
Benchmarks::Box::CollisionDetection<0, false>/100000                 309578 us       312500 us            2
Benchmarks::Box::CollisionDetection<0, true>/100                       2.39 us         2.41 us       298667
Benchmarks::Box::CollisionDetection<0, true>/1000                      43.6 us         36.1 us        19478
Benchmarks::Box::CollisionDetection<0, true>/10000                     1481 us         1475 us          498
Benchmarks::Box::CollisionDetection<0, true>/100000                  114815 us       117188 us            6
Benchmarks::Box::CollisionDetection<1, false>/100                      5.79 us         5.72 us       112000
Benchmarks::Box::CollisionDetection<1, false>/1000                      136 us          138 us         4978
Benchmarks::Box::CollisionDetection<1, false>/10000                   11001 us        10986 us           64
Benchmarks::Box::CollisionDetection<1, false>/100000                 767364 us       765625 us            1
Benchmarks::Box::CollisionDetection<1, true>/100                       6.20 us         6.28 us       112000
Benchmarks::Box::CollisionDetection<1, true>/1000                      64.0 us         58.6 us        11200
Benchmarks::Box::CollisionDetection<1, true>/10000                     2590 us         2623 us          280
Benchmarks::Box::CollisionDetection<1, true>/100000                  196359 us       197917 us            3
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/100               8.69 us         8.58 us        74667
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/1000               418 us          424 us         1659
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/10000            22634 us        22396 us           30
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/100000         2314437 us      2312500 us            1
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/100               15.2 us         15.0 us        44800
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/1000               506 us          516 us         1000
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/10000            23244 us        23438 us           30
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/100000         1661478 us      1671875 us            1
