ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace

2026-01-02T09:37:46+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Box::Create<3, 0, true>/20                                 2.98 us         2.72 us       235789
Benchmarks::Box::Create<3, 0, true>/50                                 8.92 us         7.53 us       112000
Benchmarks::Box::Create<3, 0, true>/100                                14.6 us         11.7 us        64000
Benchmarks::Box::Create<3, 0, true>/1000                               49.2 us         40.8 us        14933
Benchmarks::Box::Create<3, 0, true>/10000                               276 us          273 us         2635
Benchmarks::Box::Create<3, 0, true>/100000                             2425 us         2404 us          299
Benchmarks::Box::Create<3, 0, true>/1000000                           21357 us        21140 us           34
Benchmarks::Box::Create<3, 1, false>/10                               0.881 us        0.879 us       746667
Benchmarks::Box::Create<3, 1, false>/20                                1.10 us         1.10 us       640000
Benchmarks::Box::Create<3, 1, false>/50                                2.83 us         2.83 us       248889
Benchmarks::Box::Create<3, 1, false>/100                               6.05 us         6.00 us       112000
Benchmarks::Box::Create<3, 1, false>/1000                              56.9 us         57.8 us        10000
Benchmarks::Box::Create<3, 1, false>/10000                              974 us          983 us          747
Benchmarks::Box::Create<3, 1, false>/100000                            9011 us         9167 us           75
Benchmarks::Box::Create<3, 1, false>/1000000                          96420 us        95982 us            7
Benchmarks::Box::Create<3, 1, true>/10                                 1.75 us         1.73 us       407273
Benchmarks::Box::Create<3, 1, true>/20                                 3.23 us         2.76 us       248889
Benchmarks::Box::Create<3, 1, true>/50                                 9.72 us         8.65 us       112000
Benchmarks::Box::Create<3, 1, true>/100                                17.8 us         15.4 us        49778
Benchmarks::Box::Create<3, 1, true>/1000                               80.2 us         79.5 us        11200
Benchmarks::Box::Create<3, 1, true>/10000                               823 us          820 us          896
Benchmarks::Box::Create<3, 1, true>/100000                             6436 us         6278 us          112
Benchmarks::Box::Create<3, 1, true>/1000000                           68434 us        69602 us           11
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/10           0.906 us        0.900 us       746667
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/20            1.12 us         1.12 us       640000
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/50            2.37 us         2.41 us       298667
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/100           3.75 us         3.68 us       186667
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/1000          38.6 us         38.4 us        17920
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/10000          465 us          471 us         1493
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/100000        5040 us         5022 us          112
Benchmarks::Box::Create_OversizedModelspace<3, 0, false>/1000000      51162 us        51562 us           10
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/10             1.73 us         1.69 us       407273
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/20             3.30 us         3.28 us       224000
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/50             8.95 us         8.02 us        89600
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/100            14.9 us         12.6 us        44800
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/1000           52.7 us         50.0 us        10000
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/10000           278 us          265 us         2358
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/100000         2341 us         2344 us          320
Benchmarks::Box::Create_OversizedModelspace<3, 0, true>/1000000       22517 us        22949 us           32
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/10           0.968 us        0.984 us       746667
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/20            1.18 us         1.20 us       560000
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/50            2.95 us         2.92 us       235789
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/100           4.88 us         4.88 us       112000
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/1000          66.0 us         64.5 us         8960
